"Age","Sex","Deaths","Population","CR","YearGroup","Mechanism"
59,"Male",1548,10172225,15.22,"2001-2007","Firearm"
59,"Female",233,10910131,2.14,"2001-2007","Firearm"
60,"Male",1418,9462705,14.99,"2001-2007","Firearm"
60,"Female",243,10226922,2.38,"2001-2007","Firearm"
61,"Male",1353,8806249,15.36,"2001-2007","Firearm"
61,"Female",207,9569147,2.16,"2001-2007","Firearm"
62,"Male",1187,8450687,14.05,"2001-2007","Firearm"
62,"Female",165,9246866,1.78,"2001-2007","Firearm"
63,"Male",1163,8095054,14.37,"2001-2007","Firearm"
63,"Female",212,8917884,2.38,"2001-2007","Firearm"
64,"Male",1148,7659669,14.99,"2001-2007","Firearm"
64,"Female",154,8499124,1.81,"2001-2007","Firearm"
65,"Male",1059,7204022,14.7,"2001-2007","Firearm"
65,"Female",141,8080646,1.75,"2001-2007","Firearm"
66,"Male",1068,6894442,15.49,"2001-2007","Firearm"
66,"Female",133,7797203,1.71,"2001-2007","Firearm"
67,"Male",1088,6602519,16.48,"2001-2007","Firearm"
67,"Female",147,7535374,1.95,"2001-2007","Firearm"
68,"Male",1045,6317351,16.54,"2001-2007","Firearm"
68,"Female",110,7301002,1.51,"2001-2007","Firearm"
69,"Male",1082,6062453,17.85,"2001-2007","Firearm"
69,"Female",111,7111866,1.56,"2001-2007","Firearm"
70,"Male",1029,5803848,17.73,"2001-2007","Firearm"
70,"Female",117,6911982,1.69,"2001-2007","Firearm"
71,"Male",1031,5676321,18.16,"2001-2007","Firearm"
71,"Female",113,6852190,1.65,"2001-2007","Firearm"
72,"Male",1073,5456566,19.66,"2001-2007","Firearm"
72,"Female",82,6707662,1.22,"2001-2007","Firearm"
73,"Male",1137,5260054,21.62,"2001-2007","Firearm"
73,"Female",93,6580626,1.41,"2001-2007","Firearm"
74,"Male",1175,5083554,23.11,"2001-2007","Firearm"
74,"Female",89,6484787,1.37,"2001-2007","Firearm"
75,"Male",1238,4848306,25.54,"2001-2007","Firearm"
75,"Female",93,6338201,1.47,"2001-2007","Firearm"
76,"Male",1184,4676088,25.32,"2001-2007","Firearm"
76,"Female",114,6259416,1.82,"2001-2007","Firearm"
77,"Male",1187,4422049,26.84,"2001-2007","Firearm"
